"Period","Region","Age.Range","Gender","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2019-10-01","Norte","1","M",14.6111111111111,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,7.10887209627764,3.83431290232298,0.0279876854184159,10,"3"
"2019-10-01","Algarve","5","M",73,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,2.05074920704364,1.36716613802909,0.227861023004849,10,"3"
"2019-10-01","Centro","5","M",26.2222222222222,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,1.93955796120884,1.75913396481732,0.04510599909788,10,"3"
"2019-10-01","LVT","5","M",42.9285714285714,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,3.14285714285714,1.8,0,10,"3"
"2019-10-01","Madeira","5","M",51,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,2.36271633621453,0,0,10,"3"
"2019-10-01","Norte","5","M",31.5333333333333,13.5086493679308,50,27.6334221545489,111,65.5743202377606,484.19999999,18.2093632891012,278.48599999,NA,NA,560.20298488806,2249,3.33053456479149,1.34340890008396,0,10,"3"
"2019-10-01","Algarve","6","M",195,16.8595430075,78.29999999,53.5857335086945,96.29999999,15.3327956956586,149.59999999,2.03938171912634,49.89999999,7.12679999704,32.7,NA,NA,5.46866455211637,0.683583069014547,0.227861023004849,10,"3"
"2019-10-01","Centro","6","M",97.5,19.0452534875808,52,34.0440467997247,98,22.5061983471074,278,5.51515151515152,124,10.7011331444759,38,169.117408893387,1189.99999,5.00676589986468,0.94722598105548,0.40595399188092,10,"3"
"2019-10-01","LVT","6","M",142.357142857143,18.4672377998783,85.5,50.0671547377802,111,41.2860677542954,806.5,10.8518644813514,429.5,8.98990760179104,36.89999999,251.943241337758,1659.99999,5.8,3,0.628571428571429,10,"3"
"2019-10-01","Madeira","6","M",338,15.1487987958709,43.29999999,65.0812920556258,116.3,53.2191790002086,589.7,17.6876850581157,327.20999999,5.11610511805256,55.39999999,120.843876177658,1723,8.66329323278663,0,0.787572112071512,10,"3"
