"Period","Region","Age.Range","Duration of Hospitalizations Mean","PM10 mean","PM10 max","O3 mean","O3 max","NOX as NO2 mean","NOX as NO2 max","NO mean","NO max","PM2.5 mean","PM2.5 max","CO mean","CO max","Hospitalizations_100000","Ambulatory_100000","Deaths_100000","Month","Season"
"2018-03-01","LVT","5",52.8928571428571,17.504318555029,72.09999999,71.7350636408478,136.19999999,24.6879841683129,708.39999999,5.47418867128381,426.5,8.38841526011,29.89999999,256.507753962363,1409,6.65714285714286,2.57142857142857,0.228571428571429,3,"4"
"2018-03-01","Madeira","5",54,23.5742434397848,83.4,61.8652759044145,103.4,73.8052489864872,321.5,26.2382234155585,170.3,5.06877523328398,29.89999999,214.994616419919,880,8.26950717675087,0,0,3,"4"
"2018-03-01","Norte","5",36.2592592592593,13.9746617994417,50,51.3629697525206,117,65.8608403918503,608.79999999,20.7407838949929,313.39999999,5.46594005449591,50,341.001347648248,1538.99999,6.24125384830675,2.09907640638119,0.111950741673664,3,"4"
"2018-03-01","Algarve","6",264.5,20.6965181028969,71.79999999,85.5227026986081,118.3,7.98783783404054,70.5,1.28229729640541,16.5,9.79325842616105,27,NA,NA,11.1651901272376,0.227861023004849,1.36716613802909,3,"4"
"2018-03-01","Centro","6",144.894736842105,15.0622981079834,67,63.7486559139785,93,29.2586547972305,631,7.89960435212661,370,9.29292929292929,25,172.370218579235,1115,13.8475417230492,0.63148398737032,0.4510599909788,3,"4"
"2018-03-01","LVT","6",188.964285714286,17.504318555029,72.09999999,71.7350636408478,136.19999999,24.6879841683129,708.39999999,5.47418867128381,426.5,8.38841526011,29.89999999,256.507753962363,1409,15.5714285714286,4.85714285714286,1.14285714285714,3,"4"
"2018-03-01","Madeira","6",195,23.5742434397848,83.4,61.8652759044145,103.4,73.8052489864872,321.5,26.2382234155585,170.3,5.06877523328398,29.89999999,214.994616419919,880,16.5390143535017,0,1.57514422414302,3,"4"
"2018-03-01","Norte","6",179.566666666667,13.9746617994417,50,51.3629697525206,117,65.8608403918503,608.79999999,20.7407838949929,313.39999999,5.46594005449591,50,341.001347648248,1538.99999,17.7162048698573,3.63839910439407,1.00755667506297,3,"4"
"2018-03-01","Algarve","7",1872.5,20.6965181028969,71.79999999,85.5227026986081,118.3,7.98783783404054,70.5,1.28229729640541,16.5,9.79325842616105,27,NA,NA,66.307557694411,0.227861023004849,19.3681869554122,3,"4"
"2018-03-01","Centro","7",937.571428571429,15.0622981079834,67,63.7486559139785,93,29.2586547972305,631,7.89960435212661,370,9.29292929292929,25,172.370218579235,1115,82.8597203428056,1.127649977447,14.3888137122237,3,"4"
"2018-03-01","LVT","7",965.178571428571,17.504318555029,72.09999999,71.7350636408478,136.19999999,24.6879841683129,708.39999999,5.47418867128381,426.5,8.38841526011,29.89999999,256.507753962363,1409,67.6,6.05714285714286,12.9142857142857,3,"4"
"2018-03-01","Madeira","7",1152.5,23.5742434397848,83.4,61.8652759044145,103.4,73.8052489864872,321.5,26.2382234155585,170.3,5.06877523328398,29.89999999,214.994616419919,880,87.026718383902,0,18.5079446336805,3,"4"
"2018-03-01","Norte","7",842.266666666667,13.9746617994417,50,51.3629697525206,117,65.8608403918503,608.79999999,20.7407838949929,313.39999999,5.46594005449591,50,341.001347648248,1538.99999,69.1295829834873,1.79121186677862,11.4469633361321,3,"4"
"2018-04-01","Algarve","1",27.375,22.0655944021119,94.2,90.0494444413889,122.3,9.28055555183333,53.89999999,1.26666666581944,9.8,5.19772727113636,12,NA,NA,10.481607058223,4.10149841408728,0,4,"2"
"2018-04-01","Centro","1",17.0677966101695,22.0407279029463,88,57.221186440678,121,30.0817784835252,323,8.20524017467249,182,12.924791086351,57,165.830670926518,703,11.637347767253,3.65358592692828,0,4,"2"
"2018-04-01","LVT","1",21,21.1409480497542,181.9,69.8478856128553,121.3,31.509426647395,674,6.66582460415541,350.1,11.3490360994287,71.79999999,273.991584601611,1351,11.9142857142857,5.57142857142857,0.228571428571429,4,"2"
"2018-04-01","Madeira","1",6.14285714285714,17.9983275227178,287.1,73.2766342102782,108.8,88.5148817768707,361.5,33.4600834456745,200,3.12376650214038,13.69999999,257.955493741307,1542,5.51300478450058,0,0,4,"2"
"2018-04-01","Norte","1",20.8256880733945,19.1167747914736,110,47.6287164612038,107,76.4593551087017,642.7,25.3862537087781,334.5,5.99156829679595,33,359.270326587908,1443,14.8614609571788,6.71704450041982,0.0279876854184159,4,"2"
"2018-04-01","Algarve","5",26.5,22.0655944021119,94.2,90.0494444413889,122.3,9.28055555183333,53.89999999,1.26666666581944,9.8,5.19772727113636,12,NA,NA,2.96219329906304,1.82288818403879,0,4,"2"
"2018-04-01","Centro","5",30.1111111111111,22.0407279029463,88,57.221186440678,121,30.0817784835252,323,8.20524017467249,182,12.924791086351,57,165.830670926518,703,3.96932792061344,1.30807397383852,0.13531799729364,4,"2"
"2018-04-01","LVT","5",36.3214285714286,21.1409480497542,181.9,69.8478856128553,121.3,31.509426647395,674,6.66582460415541,350.1,11.3490360994287,71.79999999,273.991584601611,1351,5.02857142857143,2.51428571428571,0.171428571428571,4,"2"
"2018-04-01","Madeira","5",47.5,17.9983275227178,287.1,73.2766342102782,108.8,88.5148817768707,361.5,33.4600834456745,200,3.12376650214038,13.69999999,257.955493741307,1542,6.30057689657209,0,0,4,"2"
"2018-04-01","Norte","5",35.9259259259259,19.1167747914736,110,47.6287164612038,107,76.4593551087017,642.7,25.3862537087781,334.5,5.99156829679595,33,359.270326587908,1443,5.51357402742793,1.87517492303387,0.0279876854184159,4,"2"
"2018-04-01","Algarve","6",131,22.0655944021119,94.2,90.0494444413889,122.3,9.28055555183333,53.89999999,1.26666666581944,9.8,5.19772727113636,12,NA,NA,6.60796966714062,0.911444092019396,0.911444092019396,4,"2"
"2018-04-01","Centro","6",101.421052631579,22.0407279029463,88,57.221186440678,121,30.0817784835252,323,8.20524017467249,182,12.924791086351,57,165.830670926518,703,9.56247180875056,1.44339197113216,0.54127198917456,4,"2"
"2018-04-01","LVT","6",145.678571428571,21.1409480497542,181.9,69.8478856128553,121.3,31.509426647395,674,6.66582460415541,350.1,11.3490360994287,71.79999999,273.991584601611,1351,11.9714285714286,5.62857142857143,0.685714285714286,4,"2"
"2018-04-01","Madeira","6",193,17.9983275227178,287.1,73.2766342102782,108.8,88.5148817768707,361.5,33.4600834456745,200,3.12376650214038,13.69999999,257.955493741307,1542,13.3887259052157,0,0.393786056035756,4,"2"
"2018-04-01","Norte","6",142.733333333333,19.1167747914736,110,47.6287164612038,107,76.4593551087017,642.7,25.3862537087781,334.5,5.99156829679595,33,359.270326587908,1443,13.7699412258606,1.39938427092079,0.867618247970893,4,"2"
"2018-04-01","Algarve","7",1477,22.0655944021119,94.2,90.0494444413889,122.3,9.28055555183333,53.89999999,1.26666666581944,9.8,5.19772727113636,12,NA,NA,47.1672317620037,0,16.8617157023588,4,"2"
"2018-04-01","Centro","7",699.090909090909,22.0407279029463,88,57.221186440678,121,30.0817784835252,323,8.20524017467249,182,12.924791086351,57,165.830670926518,703,66.17050067659,0.99233198015336,12.3590437528191,4,"2"
"2018-04-01","LVT","7",790.892857142857,21.1409480497542,181.9,69.8478856128553,121.3,31.509426647395,674,6.66582460415541,350.1,11.3490360994287,71.79999999,273.991584601611,1351,57.1714285714286,6.02857142857143,11.0285714285714,4,"2"
"2018-04-01","Madeira","7",928.5,17.9983275227178,287.1,73.2766342102782,108.8,88.5148817768707,361.5,33.4600834456745,200,3.12376650214038,13.69999999,257.955493741307,1542,76.7882809269724,0,12.2073677371084,4,"2"
"2018-04-01","Norte","7",691.933333333333,19.1167747914736,110,47.6287164612038,107,76.4593551087017,642.7,25.3862537087781,334.5,5.99156829679595,33,359.270326587908,1443,56.8989644556395,0.979568989644556,9.54380072767982,4,"2"
"2018-05-01","Algarve","1",16.5,15.2076612870296,43.6,93.5643817168683,141.4,9.17647849083333,41.7,1.29327956899194,6.4,8.15726744087209,24,NA,NA,9.11444092019395,3.87363739108243,0,5,"2"
"2018-05-01","Centro","1",18.3333333333333,20.0411467116358,55,65.1756457564576,123,25.5395756146851,394,7.09700235769619,228,10.2620967741935,31,148.773558368495,698,9.15651781686964,3.92422192151556,0.04510599909788,5,"2"
"2018-05-01","LVT","1",16.61,19.3663272403364,64.79999999,80.7289167970518,146.69999999,27.97954388044,599.2,5.27534362076096,274.8,10.8371965783487,37.79999999,254.31974653194,913,10.2571428571429,4.68571428571429,0.0857142857142857,5,"2"
"2018-05-01","Madeira","1",5.85714285714286,16.0738575235081,40.89999999,79.4638813978841,126.2,67.5681022838493,311.69999999,26.5314939402826,174.8,2.85961021265457,10.3,224.613728129206,925,6.30057689657209,0,0,5,"2"
"2018-05-01","Norte","1",16.537037037037,15.3536104016717,65,61.2694892473118,127,62.2578595279139,597.1,17.7615384580686,294.1,7.15209125475285,30,319.631720423387,1419.99999,12.8463476070529,5.56954939826476,0.0279876854184159,5,"2"
"2018-05-01","Algarve","5",64,15.2076612870296,43.6,93.5643817168683,141.4,9.17647849083333,41.7,1.29327956899194,6.4,8.15726744087209,24,NA,NA,4.55722046009698,1.59502716103394,0,5,"2"
"2018-05-01","Centro","5",25.0555555555556,20.0411467116358,55,65.1756457564576,123,25.5395756146851,394,7.09700235769619,228,10.2620967741935,31,148.773558368495,698,3.382949932341,1.5787099684258,0.04510599909788,5,"2"
"2018-05-01","LVT","5",38.7142857142857,19.3663272403364,64.79999999,80.7289167970518,146.69999999,27.97954388044,599.2,5.27534362076096,274.8,10.8371965783487,37.79999999,254.31974653194,913,5.31428571428571,2.05714285714286,0,5,"2"
"2018-05-01","Madeira","5",36,16.0738575235081,40.89999999,79.4638813978841,126.2,67.5681022838493,311.69999999,26.5314939402826,174.8,2.85961021265457,10.3,224.613728129206,925,5.11921872846483,0,0,5,"2"
"2018-05-01","Norte","5",34.3,15.3536104016717,65,61.2694892473118,127,62.2578595279139,597.1,17.7615384580686,294.1,7.15209125475285,30,319.631720423387,1419.99999,6.26924153372516,1.95913797928911,0.0839630562552477,5,"2"
"2018-05-01","Algarve","6",186,15.2076612870296,43.6,93.5643817168683,141.4,9.17647849083333,41.7,1.29327956899194,6.4,8.15726744087209,24,NA,NA,9.3423019431988,1.13930511502424,0,5,"2"
"2018-05-01","Centro","6",103.294117647059,20.0411467116358,55,65.1756457564576,123,25.5395756146851,394,7.09700235769619,228,10.2620967741935,31,148.773558368495,698,7.893549842129,0.99233198015336,0.31574199368516,5,"2"
"2018-05-01","LVT","6",143.321428571429,19.3663272403364,64.79999999,80.7289167970518,146.69999999,27.97954388044,599.2,5.27534362076096,274.8,10.8371965783487,37.79999999,254.31974653194,913,10.4285714285714,5,0.657142857142857,5,"2"
"2018-05-01","Madeira","6",221,16.0738575235081,40.89999999,79.4638813978841,126.2,67.5681022838493,311.69999999,26.5314939402826,174.8,2.85961021265457,10.3,224.613728129206,925,17.720372521609,0,0.787572112071512,5,"2"
"2018-05-01","Norte","6",124.166666666667,15.3536104016717,65,61.2694892473118,127,62.2578595279139,597.1,17.7615384580686,294.1,7.15209125475285,30,319.631720423387,1419.99999,10.9991603694374,1.95913797928911,0.783655191715645,5,"2"
"2018-05-01","Algarve","7",1311.5,15.2076612870296,43.6,93.5643817168683,141.4,9.17647849083333,41.7,1.29327956899194,6.4,8.15726744087209,24,NA,NA,47.3950927850086,0.455722046009698,12.7602172882715,5,"2"
"2018-05-01","Centro","7",642.904761904762,20.0411467116358,55,65.1756457564576,123,25.5395756146851,394,7.09700235769619,228,10.2620967741935,31,148.773558368495,698,54.5782589084348,0.81190798376184,9.74289580514208,5,"2"
"2018-05-01","LVT","7",681.071428571429,19.3663272403364,64.79999999,80.7289167970518,146.69999999,27.97954388044,599.2,5.27534362076096,274.8,10.8371965783487,37.79999999,254.31974653194,913,47.4857142857143,6.48571428571429,10,5,"2"
"2018-05-01","Madeira","7",799.5,16.0738575235081,40.89999999,79.4638813978841,126.2,67.5681022838493,311.69999999,26.5314939402826,174.8,2.85961021265457,10.3,224.613728129206,925,68.9125598062573,0,11.4197956250369,5,"2"
"2018-05-01","Norte","7",607.9,15.3536104016717,65,61.2694892473118,127,62.2578595279139,597.1,17.7615384580686,294.1,7.15209125475285,30,319.631720423387,1419.99999,48.5026588301147,1.53932269801287,7.69661349006437,5,"2"
"2018-06-01","Algarve","1",26.625,15.122036258689,86.29999999,78.5306406646936,128.8,9.03863319036262,52.7,1.48607242199164,28.3,7.53407407245926,27,NA,NA,7.97513580516971,4.10149841408728,0,6,"2"
"2018-06-01","Centro","1",13.4814814814815,13.9953703703704,45,56.089605734767,121,21.6914366595895,306,5.46142958244869,179,5.42966360856269,21,152.449771689498,708,7.6680198466396,2.66125394677492,0.04510599909788,6,"2"
